"Dataset","Tissue","Species","Method","LLMBackend","LLMModelID","RefinementSelector","RefinementBudgetK","Replicate","FirstPassResponseHash","RefinementResponseHash","RefinementPromptTokens","RefinementCompletionTokens","RefinementTokens","RefinementRuntimeSec","RefinementCostUSD","SecondPassCalls","CostPerCorrectedError","NClusters","NFlagged","NRefined","FlaggedRate","NInitiallyIncorrect","SelectionPrecision","SelectionRecall","SelectionSpecificity","SelectionNPV","SelectionMCC","ConflictPrecision","ConflictRecall","NLabelChanged","WrongToCorrect","CorrectToWrong","NetCorrectionRate","CorrectionEfficiency","HarmRate","NetCorrectionPerChangedLabel","RefinementFamily","FullWrongToCorrect","FullNRefined","RecoveryFraction","RelativeRefinementBudget","RefinementPricingDate","RefinementPricingSource","RefinementInputCostPer1MTokens","RefinementOutputCostPer1MTokens"
"TasicBrain","Brain","Mouse","DeepSeekCell-RandomK","deepseek","deepseek-chat","random-k",0,1,"10fbdc14d5bc0c0b4b668ab4b78656de",NA,0,0,0,0,0,0,NA,15,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,NA,NA,"DeepSeekCell",0,15,NA,0,NA,NA,NA,NA
"TasicBrain","Brain","Mouse","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat","confidence-k",0,1,"10fbdc14d5bc0c0b4b668ab4b78656de",NA,0,0,0,0,0,0,NA,15,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,NA,NA,"DeepSeekCell",0,15,NA,0,NA,NA,NA,NA
"TasicBrain","Brain","Mouse","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat","evidence-no-ontology-k",0,1,"10fbdc14d5bc0c0b4b668ab4b78656de",NA,0,0,0,0,0,0,NA,15,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,NA,NA,"DeepSeekCell",0,15,NA,0,NA,NA,NA,NA
"TasicBrain","Brain","Mouse","DeepSeekCell-SelfRefined","deepseek","deepseek-chat","evidence-k",0,1,"10fbdc14d5bc0c0b4b668ab4b78656de",NA,0,0,0,0,0,0,NA,15,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,NA,NA,"DeepSeekCell",0,15,NA,0,NA,NA,NA,NA
"TasicBrain","Brain","Mouse","DeepSeekCell-FullRefined","deepseek","deepseek-chat","full",15,1,"10fbdc14d5bc0c0b4b668ab4b78656de","bbff030f5976d330421b5767525e74de",3307,1489,4796,8.46955418586731,0.0008799,1,NA,15,15,15,1,0,0,NA,0,NA,NA,0,NA,0,0,0,0,0,0,NA,"DeepSeekCell",0,15,NA,1,NA,NA,NA,NA
"ZeiselBrain","Brain","Mouse","DeepSeekCell-RandomK","deepseek","deepseek-chat","random-k",1,1,"91e5b37175be3d53314c40fcef1062c5","8187d0db18ccb037d1f6eaece9e7e481",417,91,508,1.19033885002136,8.386e-05,1,NA,16,1,1,0.0625,5,1,0.2,1,0.733333333333333,0.382970843102535,1,0.2,1,0,0,0,0,0,0,"DeepSeekCell",1,16,0,0.0625,NA,NA,NA,NA
"ZeiselBrain","Brain","Mouse","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat","confidence-k",1,1,"91e5b37175be3d53314c40fcef1062c5","d8adf75e92ddf8f126fe7647cab43f9e",421,107,528,1.66345977783203,8.89e-05,1,NA,16,1,1,0.0625,5,1,0.2,1,0.733333333333333,0.382970843102535,1,0.2,1,0,0,0,0,0,0,"DeepSeekCell",1,16,0,0.0625,NA,NA,NA,NA
"ZeiselBrain","Brain","Mouse","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat","evidence-no-ontology-k",1,1,"91e5b37175be3d53314c40fcef1062c5","faa47d8f5991785c78202ddaee963ab8",456,127,583,1.75019001960754,9.94e-05,1,9.94e-05,16,1,1,0.0625,5,1,0.2,1,0.733333333333333,0.382970843102535,1,0.2,1,1,0,1,1,0,1,"DeepSeekCell",1,16,1,0.0625,NA,NA,NA,NA
"ZeiselBrain","Brain","Mouse","DeepSeekCell-SelfRefined","deepseek","deepseek-chat","evidence-k",1,1,"91e5b37175be3d53314c40fcef1062c5","699fb390b7e2feca2affaf77901cc05a",460,118,578,2.12016105651855,9.744e-05,1,9.744e-05,16,1,1,0.0625,5,1,0.2,1,0.733333333333333,0.382970843102535,1,0.2,1,1,0,1,1,0,1,"DeepSeekCell",1,16,1,0.0625,NA,NA,NA,NA
"ZeiselBrain","Brain","Mouse","DeepSeekCell-FullRefined","deepseek","deepseek-chat","full",16,1,"91e5b37175be3d53314c40fcef1062c5","539c55c318e3c086c6961345f86ea8c1",3547,1412,4959,7.84160089492798,0.00089194,1,0.00089194,16,16,16,1,5,0.3125,1,0,NA,NA,0.3125,1,1,1,0,0.0625,0.0625,0,1,"DeepSeekCell",1,16,1,1,NA,NA,NA,NA
"ZilionisLung","Lung","Human","DeepSeekCell-RandomK","deepseek","deepseek-chat","random-k",0,1,"bfcf72a93fe7e73573f3d2cbf363fba6",NA,0,0,0,0,0,0,NA,17,0,0,0,5,NA,0,1,0.705882352941177,NA,NA,0,0,0,0,NA,NA,NA,NA,"DeepSeekCell",1,17,0,0,NA,NA,NA,NA
"ZilionisLung","Lung","Human","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat","confidence-k",0,1,"bfcf72a93fe7e73573f3d2cbf363fba6",NA,0,0,0,0,0,0,NA,17,0,0,0,5,NA,0,1,0.705882352941177,NA,NA,0,0,0,0,NA,NA,NA,NA,"DeepSeekCell",1,17,0,0,NA,NA,NA,NA
"ZilionisLung","Lung","Human","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat","evidence-no-ontology-k",0,1,"bfcf72a93fe7e73573f3d2cbf363fba6",NA,0,0,0,0,0,0,NA,17,0,0,0,5,NA,0,1,0.705882352941177,NA,NA,0,0,0,0,NA,NA,NA,NA,"DeepSeekCell",1,17,0,0,NA,NA,NA,NA
"ZilionisLung","Lung","Human","DeepSeekCell-SelfRefined","deepseek","deepseek-chat","evidence-k",0,1,"bfcf72a93fe7e73573f3d2cbf363fba6",NA,0,0,0,0,0,0,NA,17,0,0,0,5,NA,0,1,0.705882352941177,NA,NA,0,0,0,0,NA,NA,NA,NA,"DeepSeekCell",1,17,0,0,NA,NA,NA,NA
