"Dataset","Tissue","Species","Method","LLMBackend","LLMModelID","RefinementSelector","RefinementBudgetK","Replicate","FirstPassResponseHash","RefinementResponseHash","RefinementPromptTokens","RefinementCompletionTokens","RefinementTokens","RefinementRuntimeSec","RefinementCostUSD","SecondPassCalls","CostPerCorrectedError","NClusters","NFlagged","NRefined","FlaggedRate","NInitiallyIncorrect","SelectionPrecision","SelectionRecall","SelectionSpecificity","SelectionNPV","SelectionMCC","ConflictPrecision","ConflictRecall","NLabelChanged","WrongToCorrect","CorrectToWrong","NetCorrectionRate","CorrectionEfficiency","HarmRate","NetCorrectionPerChangedLabel","RefinementFamily","FullWrongToCorrect","FullNRefined","RecoveryFraction","RelativeRefinementBudget","RefinementPricingDate","RefinementPricingSource","RefinementInputCostPer1MTokens","RefinementOutputCostPer1MTokens"
"ZilionisLung","Lung","Human","OpenAICell-FullRefined","openai","gpt-5","full",17,1,"0d3e3a7932fe4647d24e8a454e3ebb5e","33717154c104c1461108dd485c2c7794",3606,1175,4781,11.116571187973,0.0162575,1,0.0162575,17,17,17,1,5,0.294117647058824,1,0,NA,NA,0.294117647058824,1,1,1,0,0.0588235294117647,0.0588235294117647,0,1,"OpenAICell",1,17,1,1,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"PBMC","PBMC","Human","OpenAICell-RandomK","openai","gpt-5","random-k",0,2,"fe3f9af6670c45175048f4de57f95cf9",NA,0,0,0,0,0,0,NA,8,0,0,0,1,NA,0,1,0.875,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,8,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"PBMC","PBMC","Human","OpenAICell-ConfidenceK","openai","gpt-5","confidence-k",0,2,"fe3f9af6670c45175048f4de57f95cf9",NA,0,0,0,0,0,0,NA,8,0,0,0,1,NA,0,1,0.875,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,8,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"PBMC","PBMC","Human","OpenAICell-NoOntologyK","openai","gpt-5","evidence-no-ontology-k",0,2,"fe3f9af6670c45175048f4de57f95cf9",NA,0,0,0,0,0,0,NA,8,0,0,0,1,NA,0,1,0.875,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,8,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"PBMC","PBMC","Human","OpenAICell-SelfRefined","openai","gpt-5","evidence-k",0,2,"fe3f9af6670c45175048f4de57f95cf9",NA,0,0,0,0,0,0,NA,8,0,0,0,1,NA,0,1,0.875,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,8,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"PBMC","PBMC","Human","OpenAICell-FullRefined","openai","gpt-5","full",8,2,"fe3f9af6670c45175048f4de57f95cf9","16d52416446805ce59ba17fe7dc50c12",1911,707,2618,11.5297241210938,0.00945875,1,NA,8,8,8,1,1,0.125,1,0,NA,NA,0.125,1,0,0,0,0,0,0,NA,"OpenAICell",0,8,NA,1,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"BaronPancreas","Pancreas","Human","OpenAICell-RandomK","openai","gpt-5","random-k",0,2,"89fec1c71c55a5dce23b3fa3045732ec",NA,0,0,0,0,0,0,NA,16,0,0,0,3,NA,0,1,0.8125,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,16,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"BaronPancreas","Pancreas","Human","OpenAICell-ConfidenceK","openai","gpt-5","confidence-k",0,2,"89fec1c71c55a5dce23b3fa3045732ec",NA,0,0,0,0,0,0,NA,16,0,0,0,3,NA,0,1,0.8125,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,16,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"BaronPancreas","Pancreas","Human","OpenAICell-NoOntologyK","openai","gpt-5","evidence-no-ontology-k",0,2,"89fec1c71c55a5dce23b3fa3045732ec",NA,0,0,0,0,0,0,NA,16,0,0,0,3,NA,0,1,0.8125,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,16,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"BaronPancreas","Pancreas","Human","OpenAICell-SelfRefined","openai","gpt-5","evidence-k",0,2,"89fec1c71c55a5dce23b3fa3045732ec",NA,0,0,0,0,0,0,NA,16,0,0,0,3,NA,0,1,0.8125,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,16,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"BaronPancreas","Pancreas","Human","OpenAICell-FullRefined","openai","gpt-5","full",16,2,"89fec1c71c55a5dce23b3fa3045732ec","cebfd46306d0c3cbc1bf4f284b9f45d1",3212,1108,4320,10.7224819660187,0.015095,1,NA,16,16,16,1,3,0.1875,1,0,NA,NA,0.1875,1,2,0,0,0,0,0,0,"OpenAICell",0,16,NA,1,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"MuraroPancreas","Pancreas","Human","OpenAICell-RandomK","openai","gpt-5","random-k",0,2,"1f743140bb512d607ef6a8aaa7e28808",NA,0,0,0,0,0,0,NA,11,0,0,0,2,NA,0,1,0.818181818181818,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,11,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"MuraroPancreas","Pancreas","Human","OpenAICell-ConfidenceK","openai","gpt-5","confidence-k",0,2,"1f743140bb512d607ef6a8aaa7e28808",NA,0,0,0,0,0,0,NA,11,0,0,0,2,NA,0,1,0.818181818181818,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,11,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"MuraroPancreas","Pancreas","Human","OpenAICell-NoOntologyK","openai","gpt-5","evidence-no-ontology-k",0,2,"1f743140bb512d607ef6a8aaa7e28808",NA,0,0,0,0,0,0,NA,11,0,0,0,2,NA,0,1,0.818181818181818,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,11,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"MuraroPancreas","Pancreas","Human","OpenAICell-SelfRefined","openai","gpt-5","evidence-k",0,2,"1f743140bb512d607ef6a8aaa7e28808",NA,0,0,0,0,0,0,NA,11,0,0,0,2,NA,0,1,0.818181818181818,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,11,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"MuraroPancreas","Pancreas","Human","OpenAICell-FullRefined","openai","gpt-5","full",11,2,"1f743140bb512d607ef6a8aaa7e28808","5bf90ae94ce4bbfa59f310f9fcc89285",2274,863,3137,10.2910740375519,0.0114725,1,NA,11,11,11,1,2,0.181818181818182,1,0,NA,NA,0.181818181818182,1,2,0,1,-0.0909090909090909,0,0.0909090909090909,-0.5,"OpenAICell",0,11,NA,1,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"TasicBrain","Brain","Mouse","OpenAICell-RandomK","openai","gpt-5","random-k",0,2,"69dc5ffd4cb259608efb373d0184a5b9",NA,0,0,0,0,0,0,NA,15,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,NA,NA,"OpenAICell",0,15,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"TasicBrain","Brain","Mouse","OpenAICell-ConfidenceK","openai","gpt-5","confidence-k",0,2,"69dc5ffd4cb259608efb373d0184a5b9",NA,0,0,0,0,0,0,NA,15,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,NA,NA,"OpenAICell",0,15,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"TasicBrain","Brain","Mouse","OpenAICell-NoOntologyK","openai","gpt-5","evidence-no-ontology-k",0,2,"69dc5ffd4cb259608efb373d0184a5b9",NA,0,0,0,0,0,0,NA,15,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,NA,NA,"OpenAICell",0,15,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"TasicBrain","Brain","Mouse","OpenAICell-SelfRefined","openai","gpt-5","evidence-k",0,2,"69dc5ffd4cb259608efb373d0184a5b9",NA,0,0,0,0,0,0,NA,15,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,NA,NA,"OpenAICell",0,15,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"TasicBrain","Brain","Mouse","OpenAICell-FullRefined","openai","gpt-5","full",15,2,"69dc5ffd4cb259608efb373d0184a5b9","5cdfc5ec80abfab86184f00db658a5b4",3284,1084,4368,11.0025870800018,0.014945,1,NA,15,15,15,1,0,0,NA,0,NA,NA,0,NA,0,0,0,0,0,0,NA,"OpenAICell",0,15,NA,1,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"ZeiselBrain","Brain","Mouse","OpenAICell-RandomK","openai","gpt-5","random-k",1,2,"f72fb92d4f427b553e3de5eb81db3d38","24bdfb5681c4725ff3358ade6b6bb72c",425,131,556,2.35144710540771,0.00184125,1,NA,16,1,1,0.0625,3,0,0,0.923076923076923,0.8,-0.124034734589208,0,0,0,0,0,0,0,0,NA,"OpenAICell",1,16,0,0.0625,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"ZeiselBrain","Brain","Mouse","OpenAICell-ConfidenceK","openai","gpt-5","confidence-k",1,2,"f72fb92d4f427b553e3de5eb81db3d38","31d61f19ff6af319d22cfbaf79035954",425,101,526,2.07908701896667,0.00154125,1,NA,16,1,1,0.0625,3,0,0,0.923076923076923,0.8,-0.124034734589208,0,0,0,0,0,0,0,0,NA,"OpenAICell",1,16,0,0.0625,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"ZeiselBrain","Brain","Mouse","OpenAICell-NoOntologyK","openai","gpt-5","evidence-no-ontology-k",1,2,"f72fb92d4f427b553e3de5eb81db3d38","240c4f52bc99165aba106dba8a90ca5c",434,101,535,1.92343091964722,0.0015525,1,0.0015525,16,1,1,0.0625,3,1,0.333333333333333,1,0.866666666666667,0.53748384988657,1,0.333333333333333,1,1,0,1,1,0,1,"OpenAICell",1,16,1,0.0625,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"ZeiselBrain","Brain","Mouse","OpenAICell-SelfRefined","openai","gpt-5","evidence-k",1,2,"f72fb92d4f427b553e3de5eb81db3d38","b4c95c04bb5ea043ed63a7facf68745b",439,106,545,1.66097283363342,0.00160875,1,0.00160875,16,1,1,0.0625,3,1,0.333333333333333,1,0.866666666666667,0.53748384988657,1,0.333333333333333,1,1,0,1,1,0,1,"OpenAICell",1,16,1,0.0625,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"ZeiselBrain","Brain","Mouse","OpenAICell-FullRefined","openai","gpt-5","full",16,2,"f72fb92d4f427b553e3de5eb81db3d38","d846423ac1bef0df04b2b8950ab0f64f",3566,1220,4786,8.4731330871582,0.0166575,1,0.0166575,16,16,16,1,3,0.1875,1,0,NA,NA,0.1875,1,2,1,1,0,0.0625,0.0625,0,"OpenAICell",1,16,1,1,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"ZilionisLung","Lung","Human","OpenAICell-RandomK","openai","gpt-5","random-k",0,2,"cbdf7601e556fef30d7adf409b6b4394",NA,0,0,0,0,0,0,NA,16,0,0,0,5,NA,0,1,0.6875,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,16,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"ZilionisLung","Lung","Human","OpenAICell-ConfidenceK","openai","gpt-5","confidence-k",0,2,"cbdf7601e556fef30d7adf409b6b4394",NA,0,0,0,0,0,0,NA,16,0,0,0,5,NA,0,1,0.6875,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,16,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"ZilionisLung","Lung","Human","OpenAICell-NoOntologyK","openai","gpt-5","evidence-no-ontology-k",0,2,"cbdf7601e556fef30d7adf409b6b4394",NA,0,0,0,0,0,0,NA,16,0,0,0,5,NA,0,1,0.6875,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,16,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"ZilionisLung","Lung","Human","OpenAICell-SelfRefined","openai","gpt-5","evidence-k",0,2,"cbdf7601e556fef30d7adf409b6b4394",NA,0,0,0,0,0,0,NA,16,0,0,0,5,NA,0,1,0.6875,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,16,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"ZilionisLung","Lung","Human","OpenAICell-FullRefined","openai","gpt-5","full",16,2,"cbdf7601e556fef30d7adf409b6b4394","2fa612d0d0479a719f2e065415566a90",3393,1208,4601,11.5767500400543,0.01632125,1,NA,16,16,16,1,5,0.3125,1,0,NA,NA,0.3125,1,0,0,0,0,0,0,NA,"OpenAICell",0,16,NA,1,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"PBMC","PBMC","Human","OpenAICell-RandomK","openai","gpt-5","random-k",0,3,"cc4d0fa99ca1b66ab910b49d94a8747b",NA,0,0,0,0,0,0,NA,8,0,0,0,1,NA,0,1,0.875,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,8,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"PBMC","PBMC","Human","OpenAICell-ConfidenceK","openai","gpt-5","confidence-k",0,3,"cc4d0fa99ca1b66ab910b49d94a8747b",NA,0,0,0,0,0,0,NA,8,0,0,0,1,NA,0,1,0.875,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,8,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"PBMC","PBMC","Human","OpenAICell-NoOntologyK","openai","gpt-5","evidence-no-ontology-k",0,3,"cc4d0fa99ca1b66ab910b49d94a8747b",NA,0,0,0,0,0,0,NA,8,0,0,0,1,NA,0,1,0.875,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,8,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"PBMC","PBMC","Human","OpenAICell-SelfRefined","openai","gpt-5","evidence-k",0,3,"cc4d0fa99ca1b66ab910b49d94a8747b",NA,0,0,0,0,0,0,NA,8,0,0,0,1,NA,0,1,0.875,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,8,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"PBMC","PBMC","Human","OpenAICell-FullRefined","openai","gpt-5","full",8,3,"cc4d0fa99ca1b66ab910b49d94a8747b","2a29e91bfb3d68130a569cbb29a470ed",1891,646,2537,8.97083210945129,0.00882375,1,NA,8,8,8,1,1,0.125,1,0,NA,NA,0.125,1,1,0,1,-0.125,0,0.125,-1,"OpenAICell",0,8,NA,1,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"BaronPancreas","Pancreas","Human","OpenAICell-RandomK","openai","gpt-5","random-k",0,3,"ad5e21361d5342730f93529e1d5d0ce8",NA,0,0,0,0,0,0,NA,16,0,0,0,3,NA,0,1,0.8125,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,16,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"BaronPancreas","Pancreas","Human","OpenAICell-ConfidenceK","openai","gpt-5","confidence-k",0,3,"ad5e21361d5342730f93529e1d5d0ce8",NA,0,0,0,0,0,0,NA,16,0,0,0,3,NA,0,1,0.8125,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,16,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"BaronPancreas","Pancreas","Human","OpenAICell-NoOntologyK","openai","gpt-5","evidence-no-ontology-k",0,3,"ad5e21361d5342730f93529e1d5d0ce8",NA,0,0,0,0,0,0,NA,16,0,0,0,3,NA,0,1,0.8125,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,16,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"BaronPancreas","Pancreas","Human","OpenAICell-SelfRefined","openai","gpt-5","evidence-k",0,3,"ad5e21361d5342730f93529e1d5d0ce8",NA,0,0,0,0,0,0,NA,16,0,0,0,3,NA,0,1,0.8125,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,16,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"BaronPancreas","Pancreas","Human","OpenAICell-FullRefined","openai","gpt-5","full",16,3,"ad5e21361d5342730f93529e1d5d0ce8","8ef1f5af3b5edf5f4ec35dd857035030",3225,1160,4385,8.09201383590698,0.01563125,1,NA,16,16,16,1,3,0.1875,1,0,NA,NA,0.1875,1,2,0,0,0,0,0,0,"OpenAICell",0,16,NA,1,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"MuraroPancreas","Pancreas","Human","OpenAICell-RandomK","openai","gpt-5","random-k",0,3,"090173111524c0a84442f4d6e0bcd90e",NA,0,0,0,0,0,0,NA,11,0,0,0,1,NA,0,1,0.909090909090909,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,11,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"MuraroPancreas","Pancreas","Human","OpenAICell-ConfidenceK","openai","gpt-5","confidence-k",0,3,"090173111524c0a84442f4d6e0bcd90e",NA,0,0,0,0,0,0,NA,11,0,0,0,1,NA,0,1,0.909090909090909,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,11,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"MuraroPancreas","Pancreas","Human","OpenAICell-NoOntologyK","openai","gpt-5","evidence-no-ontology-k",0,3,"090173111524c0a84442f4d6e0bcd90e",NA,0,0,0,0,0,0,NA,11,0,0,0,1,NA,0,1,0.909090909090909,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,11,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"MuraroPancreas","Pancreas","Human","OpenAICell-SelfRefined","openai","gpt-5","evidence-k",0,3,"090173111524c0a84442f4d6e0bcd90e",NA,0,0,0,0,0,0,NA,11,0,0,0,1,NA,0,1,0.909090909090909,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,11,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"MuraroPancreas","Pancreas","Human","OpenAICell-FullRefined","openai","gpt-5","full",11,3,"090173111524c0a84442f4d6e0bcd90e","c27b22a6d467cf4088da68c16b3f266d",2296,909,3205,8.1412410736084,0.01196,1,NA,11,11,11,1,1,0.0909090909090909,1,0,NA,NA,0.0909090909090909,1,2,0,1,-0.0909090909090909,0,0.0909090909090909,-0.5,"OpenAICell",0,11,NA,1,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"TasicBrain","Brain","Mouse","OpenAICell-RandomK","openai","gpt-5","random-k",0,3,"1dd0c1434d915389606b22cda8840b68",NA,0,0,0,0,0,0,NA,15,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,NA,NA,"OpenAICell",0,15,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"TasicBrain","Brain","Mouse","OpenAICell-ConfidenceK","openai","gpt-5","confidence-k",0,3,"1dd0c1434d915389606b22cda8840b68",NA,0,0,0,0,0,0,NA,15,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,NA,NA,"OpenAICell",0,15,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"TasicBrain","Brain","Mouse","OpenAICell-NoOntologyK","openai","gpt-5","evidence-no-ontology-k",0,3,"1dd0c1434d915389606b22cda8840b68",NA,0,0,0,0,0,0,NA,15,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,NA,NA,"OpenAICell",0,15,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"TasicBrain","Brain","Mouse","OpenAICell-SelfRefined","openai","gpt-5","evidence-k",0,3,"1dd0c1434d915389606b22cda8840b68",NA,0,0,0,0,0,0,NA,15,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,NA,NA,"OpenAICell",0,15,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"TasicBrain","Brain","Mouse","OpenAICell-FullRefined","openai","gpt-5","full",15,3,"1dd0c1434d915389606b22cda8840b68","3b2d4fc5e12aa5a040108dd5211c0faf",3298,1156,4454,8.03699207305908,0.0156825,1,NA,15,15,15,1,0,0,NA,0,NA,NA,0,NA,0,0,0,0,0,0,NA,"OpenAICell",0,15,NA,1,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"ZeiselBrain","Brain","Mouse","OpenAICell-RandomK","openai","gpt-5","random-k",1,3,"8d403d6fcb192030c2cd87f643d8a9be","c17c89febc247b4b83f9b1458d116dc3",440,108,548,1.71784901618958,0.00163,1,NA,16,1,1,0.0625,3,0,0,0.923076923076923,0.8,-0.124034734589208,0,0,0,0,0,0,0,0,NA,"OpenAICell",2,16,0,0.0625,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"ZeiselBrain","Brain","Mouse","OpenAICell-ConfidenceK","openai","gpt-5","confidence-k",1,3,"8d403d6fcb192030c2cd87f643d8a9be","8c90c48925688e384d5a0ddbf49f4adb",433,125,558,2.14014196395874,0.00179125,1,NA,16,1,1,0.0625,3,0,0,0.923076923076923,0.8,-0.124034734589208,0,0,0,0,0,0,0,0,NA,"OpenAICell",2,16,0,0.0625,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"ZeiselBrain","Brain","Mouse","OpenAICell-NoOntologyK","openai","gpt-5","evidence-no-ontology-k",1,3,"8d403d6fcb192030c2cd87f643d8a9be","d4b616aebf27ec4c3face026aebf00e0",430,102,532,1.47906613349915,0.0015575,1,0.0015575,16,1,1,0.0625,3,1,0.333333333333333,1,0.866666666666667,0.53748384988657,1,0.333333333333333,1,1,0,1,1,0,1,"OpenAICell",2,16,0.5,0.0625,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"ZeiselBrain","Brain","Mouse","OpenAICell-SelfRefined","openai","gpt-5","evidence-k",1,3,"8d403d6fcb192030c2cd87f643d8a9be","ddd3216cb95c6a7fd09b45c76d6b2618",435,102,537,1.42420220375061,0.00156375,1,0.00156375,16,1,1,0.0625,3,1,0.333333333333333,1,0.866666666666667,0.53748384988657,1,0.333333333333333,1,1,0,1,1,0,1,"OpenAICell",2,16,0.5,0.0625,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"ZeiselBrain","Brain","Mouse","OpenAICell-FullRefined","openai","gpt-5","full",16,3,"8d403d6fcb192030c2cd87f643d8a9be","9812e84c316492ada57e05962f4b3138",3557,1398,4955,10.1184749603271,0.01842625,1,0.009213125,16,16,16,1,3,0.1875,1,0,NA,NA,0.1875,1,3,2,1,0.0625,0.125,0.0625,0.333333333333333,"OpenAICell",2,16,1,1,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"ZilionisLung","Lung","Human","OpenAICell-RandomK","openai","gpt-5","random-k",1,3,"e812765f3864987da537db90013631df","a16fe45184ebd22ebd0412127586841f",436,108,544,3.22574281692505,0.001625,1,NA,18,1,1,0.0555555555555556,4,0,0,0.928571428571429,0.764705882352941,-0.129640744710433,0,0,0,0,0,0,0,0,NA,"OpenAICell",1,18,0,0.0555555555555556,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"ZilionisLung","Lung","Human","OpenAICell-ConfidenceK","openai","gpt-5","confidence-k",1,3,"e812765f3864987da537db90013631df","f423ee01d0388c54596607ba5824c423",420,116,536,2.4802029132843,0.001685,1,NA,18,1,1,0.0555555555555556,4,1,0.25,1,0.823529411764706,0.453742606486515,1,0.25,1,0,0,0,0,0,0,"OpenAICell",1,18,0,0.0555555555555556,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"ZilionisLung","Lung","Human","OpenAICell-NoOntologyK","openai","gpt-5","evidence-no-ontology-k",1,3,"e812765f3864987da537db90013631df","d5a8efd8f13daf17a9797c6011327266",446,105,551,2.12487292289734,0.0016075,1,NA,18,1,1,0.0555555555555556,4,0,0,0.928571428571429,0.764705882352941,-0.129640744710433,0,0,1,0,1,-1,0,1,-1,"OpenAICell",1,18,0,0.0555555555555556,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"ZilionisLung","Lung","Human","OpenAICell-SelfRefined","openai","gpt-5","evidence-k",1,3,"e812765f3864987da537db90013631df","570ed5aed2d20a3bde2f5fdec74ed273",453,110,563,1.96109795570374,0.00166625,1,NA,18,1,1,0.0555555555555556,4,0,0,0.928571428571429,0.764705882352941,-0.129640744710433,0,0,0,0,0,0,0,0,NA,"OpenAICell",1,18,0,0.0555555555555556,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"ZilionisLung","Lung","Human","OpenAICell-FullRefined","openai","gpt-5","full",18,3,"e812765f3864987da537db90013631df","cf3f79b1dbad8ac98f62a9d4ab07ab73",3810,1340,5150,12.7501051425934,0.0181625,1,0.0181625,18,18,18,1,4,0.222222222222222,1,0,NA,NA,0.222222222222222,1,3,1,1,0,0.0555555555555556,0.0555555555555556,0,"OpenAICell",1,18,1,1,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
