"Method","Blocks","MacroF1Mean","MacroF1SD","MacroF1CI95","AccuracyMean","AccuracySD","AccuracyCI95","DeltaMacroF1Mean","DeltaAccuracyMean","TotalTokens","TotalInputTokens","TotalOutputTokens","EstimatedCostUSD","SecondPassCalls"
"OpenAI-Plain",18,0.830984314039869,0.123060736484651,0.0611966645309405,0.850417987060144,0.0901624085316239,0.0448367109268811,0,0,55307,34860,20447,0.248045,0
"OpenAICell-Evidence",18,0.830984314039869,0.123060736484651,0.0611966645309405,0.850417987060144,0.0901624085316239,0.0448367109268811,0,0,55307,34860,20447,0.248045,0
"OpenAICell-Calibrated",18,0.830984314039869,0.123060736484651,0.0611966645309405,0.850417987060144,0.0901624085316239,0.0448367109268811,0,0,55307,34860,20447,0.248045,0
"OpenAICell-SelfRefined",18,0.851817647373203,0.0984433548343862,0.0489547286420772,0.860834653726811,0.0886977015287599,0.0441083292703844,0.0208333333333333,0.0104166666666667,57492,36626,20866,0.2544425,4
"OpenAICell-RandomK",18,0.830984314039869,0.123060736484651,0.0611966645309405,0.850417987060144,0.0901624085316239,0.0448367109268811,0,0,57492,36583,20909,0.25481875,4
"OpenAICell-ConfidenceK",18,0.830984314039869,0.123060736484651,0.0611966645309405,0.850417987060144,0.0901624085316239,0.0448367109268811,0,0,57471,36560,20911,0.25481,4
"OpenAICell-NoOntologyK",18,0.850706536262092,0.0992123144911872,0.0493371232831247,0.857748233973724,0.0926369549310912,0.0460672739009076,0.0197222222222222,0.00733024691358022,57464,36604,20860,0.254355,4
"OpenAICell-FullRefined",18,0.828669499225055,0.102639375276996,0.0510413605177397,0.831590001320393,0.0923176924673751,0.0459085084128448,-0.00231481481481468,-0.0188279857397505,128041,88413,39628,0.50679625,18
