"Replicate","Seed","Dataset","Tissue","Species","Cluster","Truth","NMarkers","ClusterPurity"
1,100,"PBMC","PBMC","Human","0","Naive T cell",25,0.972198820556024
1,100,"PBMC","PBMC","Human","1","Classical monocyte",25,0.959266802443992
1,100,"PBMC","PBMC","Human","2","B cell",25,0.971509971509972
1,100,"PBMC","PBMC","Human","3","Cytotoxic T cell",25,0.843853820598007
1,100,"PBMC","PBMC","Human","4","Natural killer cell",25,0.920245398773006
1,100,"PBMC","PBMC","Human","5","Non-classical monocyte",25,0.956521739130435
1,100,"PBMC","PBMC","Human","6","Dendritic cell",25,0.90625
1,100,"PBMC","PBMC","Human","7","Platelet",25,1
1,100,"BaronPancreas","Pancreas","Human","0","Alpha cell",25,0.992526158445441
1,100,"BaronPancreas","Pancreas","Human","1","Acinar cell",25,0.962244897959184
1,100,"BaronPancreas","Pancreas","Human","2","Alpha cell",25,0.997944501541624
1,100,"BaronPancreas","Pancreas","Human","3","Beta cell",25,0.988589211618257
1,100,"BaronPancreas","Pancreas","Human","4","Beta cell",25,0.996437054631829
1,100,"BaronPancreas","Pancreas","Human","5","Beta cell",25,0.997093023255814
1,100,"BaronPancreas","Pancreas","Human","6","Delta cell",25,0.942122186495177
1,100,"BaronPancreas","Pancreas","Human","7","Ductal cell",25,0.997933884297521
1,100,"BaronPancreas","Pancreas","Human","8","Ductal cell",25,0.988023952095808
1,100,"BaronPancreas","Pancreas","Human","9","Stellate cell",25,0.985663082437276
1,100,"BaronPancreas","Pancreas","Human","10","Gamma cell",25,0.980544747081712
1,100,"BaronPancreas","Pancreas","Human","11","Endothelial cell",25,0.996
1,100,"BaronPancreas","Pancreas","Human","12","Stellate cell",25,0.898989898989899
1,100,"BaronPancreas","Pancreas","Human","13","Ductal cell",25,0.966666666666667
1,100,"BaronPancreas","Pancreas","Human","14","Macrophage",25,0.533980582524272
1,100,"BaronPancreas","Pancreas","Human","15","Ductal cell",25,1
1,100,"MuraroPancreas","Pancreas","Human","0","Alpha cell",25,0.996343692870201
1,100,"MuraroPancreas","Pancreas","Human","1","Beta cell",25,0.961139896373057
1,100,"MuraroPancreas","Pancreas","Human","2","Alpha cell",25,0.995918367346939
1,100,"MuraroPancreas","Pancreas","Human","3","Acinar cell",25,0.935622317596567
1,100,"MuraroPancreas","Pancreas","Human","4","Ductal cell",25,0.947368421052632
1,100,"MuraroPancreas","Pancreas","Human","5","Delta cell",25,0.994652406417112
1,100,"MuraroPancreas","Pancreas","Human","6","Gamma cell",25,0.9
1,100,"MuraroPancreas","Pancreas","Human","7","Stellate cell",25,0.929411764705882
1,100,"MuraroPancreas","Pancreas","Human","8","Beta cell",25,0.892307692307692
1,100,"MuraroPancreas","Pancreas","Human","9","Endothelial cell",25,1
1,100,"MuraroPancreas","Pancreas","Human","10","Ductal cell",25,0.9375
1,100,"TasicBrain","Brain","Mouse","0","Excitatory neuron",25,0.927392739273927
1,100,"TasicBrain","Brain","Mouse","1","Inhibitory neuron",25,0.976027397260274
1,100,"TasicBrain","Brain","Mouse","2","Inhibitory neuron",25,0.976744186046512
1,100,"TasicBrain","Brain","Mouse","3","Excitatory neuron",25,0.9
1,100,"TasicBrain","Brain","Mouse","4","Excitatory neuron",25,0.94047619047619
1,100,"TasicBrain","Brain","Mouse","5","Inhibitory neuron",25,0.993377483443709
1,100,"TasicBrain","Brain","Mouse","6","Excitatory neuron",25,0.992481203007519
1,100,"TasicBrain","Brain","Mouse","7","Excitatory neuron",25,0.944444444444444
1,100,"TasicBrain","Brain","Mouse","8","Inhibitory neuron",25,0.972972972972973
1,100,"TasicBrain","Brain","Mouse","9","Astrocyte",25,0.977272727272727
1,100,"TasicBrain","Brain","Mouse","10","Inhibitory neuron",25,1
1,100,"TasicBrain","Brain","Mouse","11","Endothelial cell",25,0.692307692307692
1,100,"TasicBrain","Brain","Mouse","12","Oligodendrocyte",25,0.971428571428571
1,100,"TasicBrain","Brain","Mouse","13","Oligodendrocyte precursor cell",25,0.709677419354839
1,100,"TasicBrain","Brain","Mouse","14","Microglia",25,0.956521739130435
1,100,"ZeiselBrain","Brain","Mouse","0","Excitatory neuron",25,0.990049751243781
1,100,"ZeiselBrain","Brain","Mouse","1","Oligodendrocyte",25,1
1,100,"ZeiselBrain","Brain","Mouse","2","Excitatory neuron",25,0.710144927536232
1,100,"ZeiselBrain","Brain","Mouse","3","Inhibitory neuron",25,0.936
1,100,"ZeiselBrain","Brain","Mouse","4","Astrocyte",25,0.504098360655738
1,100,"ZeiselBrain","Brain","Mouse","5","Endothelial cell",25,0.63849765258216
1,100,"ZeiselBrain","Brain","Mouse","6","Macrophage",25,0.570175438596491
