"Dataset","Tissue","Species","Method","RefinementSelector","RefinementBudgetK","Replicate","FirstPassResponseHash","RefinementResponseHash","RefinementPromptTokens","RefinementCompletionTokens","RefinementTokens","RefinementRuntimeSec","RefinementCostUSD","SecondPassCalls","CostPerCorrectedError","NClusters","NFlagged","NRefined","FlaggedRate","NInitiallyIncorrect","SelectionPrecision","SelectionRecall","SelectionSpecificity","SelectionNPV","SelectionMCC","ConflictPrecision","ConflictRecall","NLabelChanged","WrongToCorrect","CorrectToWrong","NetCorrectionRate","NetCorrectionPerChangedLabel","FullWrongToCorrect","FullNRefined","CorrectionEfficiency","HarmRate","RecoveryFraction","RelativeRefinementBudget"
"MuraroPancreas","Pancreas","Human","DeepSeekCell-FullRefined","full",11,3,"475c46e716003f09f35f6570c38fc0e3","445f7ed0e8757ae1b4c00cbc5a606afa",2536,1183,3719,6.44893908500671,0.00068628,1,NA,11,11,11,1,2,0.181818181818182,1,0,NA,NA,0.181818181818182,1,0,0,0,0,NA,0,11,0,0,NA,1
"TasicBrain","Brain","Mouse","DeepSeekCell-RandomK","random-k",0,3,"be2011ced8bc8080b9573664284000e1",NA,0,0,0,0,0,0,NA,15,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,0,15,NA,NA,NA,0
"TasicBrain","Brain","Mouse","DeepSeekCell-ConfidenceK","confidence-k",0,3,"be2011ced8bc8080b9573664284000e1",NA,0,0,0,0,0,0,NA,15,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,0,15,NA,NA,NA,0
"TasicBrain","Brain","Mouse","DeepSeekCell-SelfRefined","evidence-k",0,3,"be2011ced8bc8080b9573664284000e1",NA,0,0,0,0,0,0,NA,15,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,0,15,NA,NA,NA,0
"TasicBrain","Brain","Mouse","DeepSeekCell-FullRefined","full",15,3,"be2011ced8bc8080b9573664284000e1","aafcd2fddb029263547af55730678669",3321,1049,4370,5.40177798271179,0.00075866,1,NA,15,15,15,1,0,0,NA,0,NA,NA,0,NA,0,0,0,0,NA,0,15,0,0,NA,1
"ZeiselBrain","Brain","Mouse","DeepSeekCell-RandomK","random-k",1,3,"e388ee60b99d71e54503b7400fc192c6","709ba0977821d14118b8289aea3f5156",454,74,528,1.01805281639099,8.428e-05,1,NA,16,1,1,0.0625,5,0,0,0.909090909090909,0.666666666666667,-0.174077655955698,0,0,0,0,0,0,NA,0,16,0,0,NA,0.0625
"ZeiselBrain","Brain","Mouse","DeepSeekCell-ConfidenceK","confidence-k",1,3,"e388ee60b99d71e54503b7400fc192c6","93d85f30dcaec6a61ef9c1aab9c5e6a4",423,98,521,1.2701997756958,8.666e-05,1,NA,16,1,1,0.0625,5,1,0.2,1,0.733333333333333,0.382970843102535,1,0.2,1,0,0,0,0,0,16,0,0,NA,0.0625
"ZeiselBrain","Brain","Mouse","DeepSeekCell-SelfRefined","evidence-k",1,3,"e388ee60b99d71e54503b7400fc192c6","05d02217c9432af72722ccdd5b7f7d6a",452,119,571,1.34629797935486,9.66e-05,1,9.66e-05,16,1,1,0.0625,5,1,0.2,1,0.733333333333333,0.382970843102535,1,0.2,1,1,0,1,1,0,16,1,0,NA,0.0625
"ZeiselBrain","Brain","Mouse","DeepSeekCell-FullRefined","full",16,3,"e388ee60b99d71e54503b7400fc192c6","3e1ae3bd7390546220b9ccf2a68116c8",3631,1741,5372,8.22534608840942,0.00099582,1,NA,16,16,16,1,5,0.3125,1,0,NA,NA,0.3125,1,0,0,0,0,NA,0,16,0,0,NA,1
"ZilionisLung","Lung","Human","DeepSeekCell-RandomK","random-k",6,3,"625fafc8c9eed9a86992ca6dfdc03c88","7139e78618078e5fdc968024e1cadf8f",1311,799,2110,5.50324296951294,0.00040726,1,6.78766666666667e-05,18,6,6,0.333333333333333,18,1,0.333333333333333,NA,0,NA,1,0.333333333333333,6,6,0,1,1,11,18,1,0,0.545454545454545,0.333333333333333
"ZilionisLung","Lung","Human","DeepSeekCell-ConfidenceK","confidence-k",6,3,"625fafc8c9eed9a86992ca6dfdc03c88","f0f3bba5413a6364876bce14a0a55d64",1300,699,1999,5.01730012893677,0.00037772,1,0.000125906666666667,18,6,6,0.333333333333333,18,1,0.333333333333333,NA,0,NA,1,0.333333333333333,6,3,0,0.5,0.5,11,18,0.5,0,0.272727272727273,0.333333333333333
"ZilionisLung","Lung","Human","DeepSeekCell-SelfRefined","evidence-k",6,3,"625fafc8c9eed9a86992ca6dfdc03c88","d582f551b44c3d1654edbcae8ff2e740",1357,614,1971,3.56481599807739,0.0003619,1,9.0475e-05,18,6,6,0.333333333333333,18,1,0.333333333333333,NA,0,NA,1,0.333333333333333,6,4,0,0.666666666666667,0.666666666666667,11,18,0.666666666666667,0,0.363636363636364,0.333333333333333
"ZilionisLung","Lung","Human","DeepSeekCell-FullRefined","full",18,3,"625fafc8c9eed9a86992ca6dfdc03c88","db0b76f8c5dd1fbbda92769f482bae9f",3381,1775,5156,9.06753706932068,0.00097034,1,8.82127272727273e-05,18,18,18,1,18,1,1,NA,NA,NA,1,1,18,11,0,0.611111111111111,0.611111111111111,11,18,0.611111111111111,0,1,1
